,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord,Hf_log,band_log,Al?,Ga?,In?
0,80.0,0.625,0.375,0.0,9.9523,8.5513,9.1775,90.0026,90.0023,90.0017,0.068,3.4387,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5708417053554484,1.5708364693676926,1.5708259973921803,781.0520809134047,0.1024259482241487,5.2,1.93955945083,5.333333333333333,1.94257398609,0.0,0.0,3.5,-2.6882475738060303,1.235093492983726,1,1,0
12,40.0,0.8125,0.1875,0.0,4.9323,8.4765,9.1059,90.0044,90.0024,90.0015,0.0535,3.9039,1.1037499999999998,1.211875,1.3914735313125,1.6475,1.468125,0.323375,-5.7871625,2.931875,-0.2285125,-2.7035625000000003,0.675625,7.455480292499999,34.995562612499995,1.5708731212819844,1.5708382146969444,1.5708225067336763,380.7053020395308,0.1050681453231943,5.384615384615384,1.93630526962,4.666666666666667,1.86410474338,0.0,0.0,3.5,-2.928073625080176,1.3619760534686842,1,1,0
20,80.0,0.0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.99799999999998,90.0,0.0918,1.1365,1.0525,1.345,2.86400571525,1.79125,1.3675,0.483125,-5.6427,2.0225,-0.23585,-2.7645,0.825,10.34839782475,97.907375,1.5707753828438729,1.5707614202098563,1.5707963267948966,1014.4525645756648,0.07886026690017113,0.0,0.0,4.583333333333333,2.04846085961,5.65,2.15198602537,3.5,-2.388142981355692,0.1279533643104609,0,1,1
25,40.0,0.875,0.0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,0.1783,3.3353,1.125,1.2362499999999998,1.5621109361249998,1.63125,1.48625,0.408875,-5.749675,2.96375,-0.263325,-2.707875,0.6987500000000001,7.99232428475,37.961096275,1.570892319903756,1.5708329787091884,1.5708137800874171,392.06785241107656,0.10202315684393494,5.285714285714286,1.94822127869,0.0,0.0,5.0,1.90693269506,3.5,-1.7242877541130424,1.2045626303443655,1,0,1
32,40.0,0.5625,0.0,0.4375,5.2334,8.9433,9.5725,90.0037,90.0005,90.0006,0.2342,2.1264,1.1124999999999998,1.301875,2.2467649314375002,1.6843750000000002,1.4518749999999998,0.5110625,-5.6738625,2.598125,-0.2808875,-2.7350625,0.770625,9.421391586625,65.4099904625,1.5708609039772201,1.5708050534411566,1.5708067987704086,448.03000841513153,0.08927973405508402,5.8888888888888875,2.07022466315,0.0,0.0,4.428571428571429,1.96662716575,3.5,-1.4515798278185201,0.7544304089768438,1,0,1
36,40.0,0.5,0.0,0.5,5.2826,9.0207,9.6494,90.0033,90.0001,90.0006,0.2341,1.9983,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5708539226602125,1.5707980721241486,1.5708067987704086,459.8204433245172,0.08699047765427446,5.25,2.04637196466,0.0,0.0,5.25,2.0530918282900004,3.5,-1.452006904485272,0.6922968191051063,1,0,1
37,80.0,0.3125,0.0625,0.625,10.7916,9.2003,9.827,90.0019,89.9989,90.0004,0.2993,1.3459999999999999,1.09625,1.341875,2.6919653930624996,1.7287500000000002,1.4206249999999998,0.5574999999999999,-5.6307625,2.319375,-0.2821625,-2.7535625,0.815625,10.29042627725,84.55066831250002,1.5708294880506846,1.5707771281731249,1.5708033081119046,975.6831034159112,0.08199383562133683,5.3,2.11017672968,5.5,2.12599894099,5.2,2.07702966911,3.5,-1.2063088641234838,0.29713723122253594,1,1,1
41,80.0,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,90.005,90.00200000000002,90.001,0.1573,3.4388,1.119271,1.2429930000000002,1.6475144718503998,1.6426330000000002,1.477364,0.411615,-5.74271972,2.897295,-0.26042897,-2.7114117,0.7067950000000001,8.1400481737352,42.0324293125,1.5708835932574958,1.5708312333799366,1.5708137800874171,798.2269801001898,0.10022211976593268,5.1923076923076925,1.94954326177,4.0,1.83255705008,5.8,1.99678591467,3.5,-1.8496004689179049,1.235122573318152,1,1,1
42,80.0,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,90.00399999999998,90.0011,90.0007,0.2876,2.27,1.11188,1.2825099999999998,2.0586547832502,1.6746860000000001,1.456878,0.472997,-5.69778596,2.678114,-0.27099772,-2.7280026,0.7500100000000001,8.998687926133199,58.513247625,1.5708661399649757,1.5708155254166685,1.5708085440996604,864.9553154587289,0.09249032703796037,5.6,2.0338894722,4.0,1.88240510883,4.727272727272728,1.96229884851,3.5,-1.2461846531352454,0.8197798314933114,1,1,1
47,80.0,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,90.0035,90.0016,90.0009,0.2123,2.5317,1.0993799999999998,1.25751,1.8536093140002,1.6784360000000005,1.4493779999999998,0.402372,-5.732885960000001,2.7056139999999997,-0.24544772,-2.7215026,0.7250099999999999,8.4502496243832,52.876372625,1.5708574133187163,1.5708242520629283,1.5708120347581649,833.7879154823565,0.09594766068745314,5.2,1.98010292168,5.6,2.0059598551,5.142857142857143,1.97634228016,3.5,-1.5497549102729267,0.9288910138498935,1,1,1
56,40.0,0.4375,0.0,0.5625,5.3319,9.097999999999999,9.7263,90.0029,89.9996,90.0005,0.2358,1.7358,1.1075,1.328125,2.5206265295625,1.705625,1.438125,0.5519375,-5.6435375,2.451875,-0.2879125,-2.7459375,0.799375,9.993018507375,76.3895481375,1.5708469413432042,1.5707893454778887,1.5708050534411566,471.819176675237,0.0847782412785075,6.0,2.1074210039500003,0.0,0.0,4.666666666666667,2.0275235739400004,3.5,-1.4447712908788664,0.5514684022280074,1,0,1
57,80.0,0.125,0.8125,0.0625,10.2554,8.8031,9.4214,89.9979,90.0016,90.0016,0.0728,2.1497,1.01375,1.2312500000000002,1.8724849747499999,1.783125,1.355,0.1950625,-5.7958750000000006,2.265,-0.1394,-2.730875,0.70875,7.857236847875,67.19875482500001,1.5707596748806048,1.5708242520629283,1.5708242520629283,850.5575063926744,0.09405595670925353,5.0,1.99057331884,5.307692307692308,1.99766686632,5.0,1.99730181851,3.5,-2.6200393237794968,0.765328297519953,1,1,1
61,80.0,0.6562,0.1562,0.1875,10.1456,8.6961,9.3246,90.0037,90.0017,90.001,0.1985,2.673,1.1005189999999998,1.250816,1.7849055448959,1.672954,1.4526709999999998,0.3921001,-5.73990134,2.741924,-0.24366303,-2.7185098000000005,0.7177439999999999,8.306372173690999,50.12439322932,1.5708609039772201,1.5708259973921803,1.5708137800874171,822.6829008283032,0.09724281362777017,5.333333333333333,1.98459550065,5.0,1.94533799835,5.166666666666667,1.96283464739,3.5,-1.616966178854892,0.983201437156782,1,1,1
64,80.0,0.1875,0.8125,0.0,10.1568,8.7257,9.3445,89.9983,90.00200000000002,90.00200000000002,0.0614,2.4345,1.01625,1.218125,1.7355541756875,1.7725,1.361875,0.174625,-5.8110375,2.338125,-0.1358875,-2.7254375000000004,0.694375,7.5714233875,61.7089759875,1.5707666561976128,1.5708312333799366,1.5708312333799366,828.1580843387324,0.09659991433142673,5.0,1.97957357899,5.307692307692308,1.97895380682,0.0,0.0,3.5,-2.79034544382904,0.8897413966406185,1,1,0
66,80.0,0.4375,0.125,0.4375,10.5252,8.9931,9.6202,90.0025,90.0003,90.0006,0.2699,1.8454,1.095,1.303125,2.3155810603125,1.709375,1.430625,0.4813125,-5.6786375000000024,2.479375,-0.2623625,-2.7394375,0.774375,9.444580205625,70.7526731375,1.5708399600261964,1.5708015627826524,1.5708067987704086,910.5921041803917,0.08785492388165021,5.5,2.0597278518,5.5,2.05997020945,4.928571428571429,2.01880225415,3.5,-1.3097037589581781,0.6126960561623184,1,1,1
67,80.0,0.3125,0.2812,0.4062,10.549000000000001,9.0167,9.6414,90.0012,90.0002,90.0005,0.2103,1.5678,1.074271,1.297993,2.3328699258504,1.7351330000000005,1.4073639999999998,0.43386499999999995,-5.69161972,2.367295,-0.23742897,-2.7419117,0.771795,9.329679253235199,74.6769100125,1.5708172707459205,1.5707998174534008,1.5708050534411566,917.0626662059793,0.08723504177852051,4.9,2.02421724671,5.4444444444444455,2.06099192828,5.384615384615384,2.05502589515,3.5,-1.559220196273483,0.4496733627724848,1,1,1
