,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev,avg_rs_max,avg_rCovalent,avg_vIonic,avg_electronegativity,avg_rp_max,avg_LUMO,avg_IP,avg_rd_max,avg_EA,avg_HOMO,avg_rIonic,avg_vCovalent,avg_mass,lattice_angle_alpha_degree_r,lattice_angle_beta_degree_r,lattice_angle_gamma_degree_r,vol,atomic_density,Al_coord, Al_O_mean, Ga_coord, Ga_O_mean, In_coord, In_O_mean, O_coord,Hf_log,band_log,Al?,Ga?,In?
7,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.2243,1.7179,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5707910908071407,1.835719853955116,1.5707980721241486,232.2178272348881,0.08612603191644723,4.0,2.03515276092,0.0,0.0,3.0,1.93206822727,2.333333333333333,-1.4947708374559745,0.5411026146502628,1,0,1
15,80.0,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,89.9997,104.8418,90.0001,0.166,1.5852,1.08875,1.290625,2.2130583256875003,1.7112500000000002,1.426875,0.446,-5.6961875000000015,2.493125,-0.2495875,-2.7361875,0.7618750000000001,9.17036105475,67.9342356375,1.5707910908071407,1.829834603717391,1.5707980721241486,909.2995296160016,0.08797981016638612,4.714285714285714,1.96886944,4.666666666666667,1.96503406015,5.5,2.02256475794,3.333333333333333,-1.7957674906255938,0.46071058233414286,1,1,1
17,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.4860000000000015,90.0003,105.241,90.0,0.0503,1.1844,1.0493800000000002,1.33876,2.8128263661252,1.792186,1.365628,0.4654970000000001,-5.65146096,2.029364,-0.22947272,-2.7628776000000004,0.8187599999999999,10.2115076246332,96.500411,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0.0,0.0,4.0,1.97297889147,5.684210526315789,2.10466038902,3.333333333333333,-2.9897502018764435,0.16923631724529908,0,1,1
19,20.0,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596,1.0750000000000002,1.3175,2.52132798825,1.745,1.4025,0.472,-5.6682500000000005,2.2875,-0.24735,-2.74925,0.7925,9.753582285,81.58513465,1.5707963267948966,1.8342415600786768,1.5707980721241486,239.36661798834805,0.08355383957914117,3.0,1.95049928369,3.5,2.01103375212,3.75,2.03524753949,2.333333333333333,-1.5784238589049309,0.4444293781263053,1,1,1
28,80.0,0.0938,0.5,0.4062,24.717,6.3698,6.2742,90.0001,104.8049,90.0001,0.1898,1.1496,1.043752,1.3003019999999998,2.4534545027670003,1.7790540000000001,1.370318,0.3818274,-5.70055588,2.159746,-0.20502844,-2.7498394,0.7784260000000001,9.3710106816692,84.03143992068001,1.5707980721241486,1.829190577223405,1.5707980721241486,955.0305089551256,0.08376695744257003,4.666666666666667,1.99773959646,4.875,2.0142314906400003,5.230769230769232,2.0393573764900004,3.333333333333333,-1.6617843928063096,0.13941405578267807,1,1,1
33,80.0,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,89.9995,104.3985,90.0002,0.1469,2.4457,1.091981,1.251684,1.8196263121041,1.685796,1.4423290000000002,0.3772749,-5.74344866,2.683076,-0.23443697,-2.7212402000000004,0.7197560000000001,8.319469173559,52.80540502068,1.5707876001486365,1.8220975591433,1.5707998174534008,853.0701384645038,0.09377892437308516,4.842105263157895,1.93541814372,5.142857142857143,1.95699039338,5.333333333333333,1.96939443694,3.333333333333333,-1.9180031958023054,0.8943313805197279,1,1,1
35,80.0,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,89.9998,104.4804,90.0001,0.1064,1.9758,1.063132,1.2665620000000002,2.0595974266422,1.7337400000000005,1.403446,0.3530744,-5.7348668400000005,2.43161,-0.21015116,-2.7329670000000004,0.739686,8.6393049418024,66.30223557068001,1.5707928361363923,1.823526983800684,1.5707980721241486,893.2512364534344,0.0895604693676463,4.545454545454546,1.94158912752,4.9230769230769225,1.9719878501900003,5.75,2.02461043773,3.333333333333333,-2.2405497020745933,0.6809733796282366,1,1,1
40,80.0,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,89.9999,104.7882,90.0001,0.1647,1.5402,1.066868,1.292188,2.2991060132328,1.7425099999999998,1.400304,0.4088006,-5.7021581600000015,2.34464,-0.22642384,-2.741658,0.766564,9.1993561039476,74.61472605431999,1.5707945814656443,1.8288991072383216,1.5707980721241486,926.8365071478861,0.08631511532296084,5.333333333333333,2.02542273184,4.181818181818182,1.93313468197,5.5,2.03557883302,3.333333333333333,-1.8036296417985422,0.4319122781230127,1,1,1
45,80.0,0.5,0.5,0.0,24.401999999999997,6.0269,5.7748,89.9995,103.8357,90.0002,0.0219,2.8387,1.06,1.215,1.5635138535,1.71,1.415,0.249,-5.7991,2.635,-0.1822,-2.7145,0.685,7.51345184,48.3522693,1.5707876001486365,1.812274846113076,1.5707998174534008,824.6489022526857,0.0970109822270602,5.25,1.9418285935,4.75,1.90528110545,0.0,0.0,3.333333333333333,-3.8212686421596818,1.0433462008963401,1,1,0
65,80.0,0.2188,0.5312,0.25,24.6283,6.2468,6.0884,89.9999,104.4371,90.0001,0.1138,1.6944,1.045632,1.2678120000000002,2.1284135555172,1.7587400000000002,1.382196,0.3233244,-5.739641840000001,2.31286,-0.19162616,-2.737342,0.743436,8.6624935608024,71.64491824568,1.5707945814656443,1.82277125623457,1.5707980721241486,907.1097360610088,0.08819219640105319,5.142857142857143,1.99789685778,4.705882352941177,1.96514675379,5.5,2.02079902841,3.333333333333333,-2.1733127572899065,0.5273286958650049,1,1,1
77,80.0,0.0,0.4062,0.5938,24.765,6.5014,6.4860000000000015,90.0003,105.241,90.0,0.0824,1.1499,1.0493800000000002,1.33876,2.8128263661252,1.792186,1.365628,0.4654970000000001,-5.65146096,2.029364,-0.22947272,-2.7628776000000004,0.8187599999999999,10.2115076246332,96.500411,1.5708015627826524,1.8368019580913524,1.5707963267948966,1007.5633115130677,0.07939947702131316,0.0,0.0,4.153846153846153,1.98943907866,5.57894736842105,2.0987595672,3.333333333333333,-2.496169842066711,0.13967498207248197,0,1,1
79,80.0,0.3125,0.375,0.3125,24.5144,6.2551,6.1334,89.9999,104.6359,90.0001,0.1756,1.6822,1.065,1.279375,2.1793517199375,1.738125,1.401875,0.3809375,-5.7185125,2.388125,-0.2182875,-2.7373125,0.7531249999999999,8.919330522875,70.4584808125,1.5707945814656443,1.8262409707875351,1.5707980721241486,909.9775930144693,0.08791425263009517,4.8,1.97538014145,4.833333333333333,1.97795855063,5.4,2.01692117816,3.333333333333333,-1.7395465977811206,0.5201024605461998,1,1,1
81,20.0,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0215,2.5838,1.0425,1.21625,1.6323299823750002,1.735,1.39375,0.21925,-5.803875,2.5162500000000003,-0.163675,-2.718875,0.68875,7.536640458999997,53.694951975,1.5707910908071407,1.8114964292666864,1.5707998174534008,209.443942711404,0.09549094493297576,3.6666666666666665,1.951913618,3.4,1.91418676333,0.0,0.0,2.333333333333333,-3.83970234384852,0.9492611835440639,1,1,0
86,80.0,0.3438,0.3438,0.3125,24.4819,6.2462,6.1270000000000024,89.9998,104.6466,90.0001,0.1801,1.7088,1.069481,1.279184,2.1623040391041,1.732046,1.407329,0.3883999,-5.71789866,2.418076,-0.22293697,-2.7364901999999995,0.752256,8.914284713309,69.12764537068001,1.5707928361363923,1.8264277210174984,1.5707980721241486,906.4870033361508,0.08825278211995914,4.545454545454546,1.95195715509,5.090909090909091,1.99418452974,5.4,2.01432665569,3.333333333333333,-1.7142430268002267,0.5357913697837388,1,1,1
97,20.0,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0406,2.7322,1.0425,1.21625,1.6323299823750002,1.735,1.39375,0.21925,-5.803875,2.5162500000000003,-0.163675,-2.718875,0.68875,7.536640458999997,53.694951975,1.5707910908071407,1.8114964292666864,1.5707998174534008,209.443942711404,0.09549094493297576,3.333333333333333,1.9038118783,3.6,1.94300588843,0.0,0.0,2.333333333333333,-3.20398721237445,1.0051071454712497,1,1,0
104,80.0,0.6875,0.3125,0.0,24.2072,5.9735,5.7364,89.9993,103.9031,90.0002,0.008,3.2351,1.08625,1.2131249999999998,1.4602896601875002,1.6725,1.446875,0.293625,-5.7919375,2.8131250000000003,-0.2099875,-2.7079375,0.6793750000000001,7.4786689115,40.3382452875,1.5707841094901327,1.81345119802892,1.5707998174534008,805.1919812941023,0.09935518715850128,5.454545454545454,1.93919789979,4.0,1.81892586091,0.0,0.0,3.333333333333333,-4.8283137373023015,1.174059839376183,1,1,0
110,80.0,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,0.2297,1.8474,1.0825,1.2781249999999995,2.1105355910625,1.7131250000000002,1.423125,0.4106875,-5.7137375,2.506875,-0.2368125,-2.7329375,0.749375,8.896141903875,65.11579813750001,1.5707910908071407,1.8269949530243963,1.5707980721241486,896.0818957310803,0.08927755418463283,4.857142857142857,1.96965896229,5.0,1.98014214782,5.2,1.9938509288900004,3.333333333333333,-1.4709811692870844,0.6137792451763726,1,1,1
118,80.0,0.4062,0.2812,0.3125,24.4169,6.2284,6.1143,89.9997,104.6682,90.0001,0.1219,2.0981,1.078019,1.2783159999999998,2.1275832718959,1.7192040000000002,1.417671,0.4032251,-5.71435134,2.4769240000000003,-0.23216303,-2.7337597999999996,0.7502439999999999,8.901187713440997,66.44663357932001,1.5707910908071407,1.8268047121359283,1.5707980721241486,899.5465405493138,0.08893369758405993,4.615384615384615,1.95293591149,4.666666666666667,1.95718650376,5.8,2.03193829889,3.333333333333333,-2.104554242494911,0.7410321732805181,1,1,1
125,80.0,0.2188,0.0,0.7812,24.4881,6.5441,6.6348,90.0001,105.7537,90.0,0.3481,1.1339,1.098752,1.3740519999999998,2.999774781642,1.742804,1.414068,0.6234523999999999,-5.590480879999999,2.195996,-0.30020344,-2.7649644,0.8496760000000001,10.993136967919199,95.59938224568,1.5707980721241486,1.8457502611663272,1.5707963267948966,1023.3059098794199,0.07817799079204645,6.0,2.1325046371200003,0.0,0.0,4.72,2.05470193283,3.333333333333333,-1.0552654841647438,0.125663017995657,1,0,1
132,20.0,0.25,0.5,0.25,12.2979,3.1189,6.0820000000000025,89.9999,104.4479,90.0001,0.0969,1.8691,1.05,1.2675,2.11123704975,1.7525000000000002,1.3875,0.33075,-5.73845,2.3425,-0.19625,-2.73625,0.7424999999999999,8.6567056815,70.31138465,1.5707945814656443,1.8229597517937848,1.5707980721241486,225.90318507229838,0.08853350161308783,3.5,1.97479783185,3.25,1.9411994113,4.0,2.02939526525,2.333333333333333,-2.3340757600854163,0.6254570315899951,1,1,1
136,20.0,0.625,0.375,0.0,12.1361,2.9957,5.7492,89.9994,103.8806,90.0002,0.0441,3.2971,1.0775,1.21375,1.4946977246250002,1.685,1.43625,0.27875,-5.7943250000000015,2.75375,-0.200725,-2.710125,0.6812499999999999,7.490263221,43.009586625,1.5707858548193845,1.8130584989472216,1.5707998174534008,202.91476561821648,0.09856355174088187,3.4,1.89428585963,3.6666666666666665,1.93128561318,0.0,0.0,2.333333333333333,-3.1212954965293367,1.1930432942332094,1,1,0
138,80.0,0.4688,0.3125,0.2188,24.3767,6.1582,6.0053,89.9996,104.4396,90.0002,0.1206,2.3364,1.077611,1.259194,1.9397858264793,1.7098570000000002,1.4229570000000002,0.3652094,-5.739434620000001,2.55744,-0.22230969,-2.7272428,0.729766,8.4799867433172,59.55956119568001,1.5707893454778887,1.8228148894658696,1.5707998174534008,873.0178932669174,0.09163615158061912,5.066666666666666,1.96706126246,4.6,1.93114359877,5.428571428571429,1.9906642985900005,3.333333333333333,-2.115275994689052,0.8486112831840171,1,1,1
142,20.0,0.375,0.0,0.625,12.1835,3.2061,6.4421,89.9999,105.4406,90.0001,0.3581,1.2158,1.105,1.34125,2.6575573286250003,1.71625,1.43125,0.572375,-5.628375,2.37875,-0.291425,-2.751375,0.81375,10.27883196775,81.879326975,1.5707945814656443,1.8402856352783328,1.5707980721241486,242.5558327746494,0.08245524245372958,3.333333333333333,2.00328010257,0.0,0.0,3.6,2.0282460758200003,2.333333333333333,-1.0269430019777501,0.19540229633248507,1,0,1
150,20.0,0.5,0.0,0.5,12.135,3.1533,6.287999999999999,89.9997,105.179,90.0001,0.3689,1.5878,1.11,1.315,2.3836957305,1.695,1.4449999999999998,0.5315,-5.6587,2.525,-0.2844,-2.7405,0.785,9.707205047,70.8997693,1.5707910908071407,1.835719853955116,1.5707980721241486,232.2178272348881,0.08612603191644723,3.75,2.0145358541900005,0.0,0.0,3.25,1.96378654531,2.333333333333333,-0.997229674379507,0.46234941030887605,1,0,1
155,80.0,0.0,0.625,0.375,24.8227,6.3789,6.2612,90.0002,104.6927,90.0001,0.0092,1.4593,1.0275,1.295,2.45391477675,1.79875,1.3525,0.341875,-5.7129,2.0775,-0.18475,-2.7515,0.775,9.25152122125,86.633625,1.5707998174534008,1.827232317802668,1.5707980721241486,958.9889674315283,0.08342118910321247,0.0,0.0,4.4,1.97649604973,6.0,2.08652332011,3.333333333333333,-4.688551794927142,0.37795686869156303,0,1,1
156,80.0,0.4062,0.3438,0.25,24.4334,6.1934,6.0501,89.9997,104.5021,90.0001,0.2358,2.0491,1.071868,1.265938,2.0252444151077995,1.7212600000000002,1.414054,0.36792559999999996,-5.732483159999999,2.4908900000000003,-0.21939884,-2.730783,0.7378140000000001,8.6277291831976,63.63516837931999,1.5707910908071407,1.8239057202483664,1.5707980721241486,886.3659457431122,0.09025617509811876,4.615384615384615,1.94259725992,5.8181818181818175,2.02300658863,4.5,1.93262400985,3.333333333333333,-1.4447712908788664,0.7174006723606499,1,1,1
163,80.0,0.2188,0.7812,0.0,24.6943,6.1068,5.8324,89.9999,103.7358,90.0001,0.0123,2.3529,1.020632,1.217812,1.7183226170172,1.7662400000000005,1.367196,0.1820744,-5.80984184,2.3678600000000003,-0.14052616,-2.724342,0.6934359999999999,7.565616957302399,60.37116824568001,1.5707945814656443,1.8105312621903336,1.5707980721241486,854.3901655061252,0.09363403656760194,5.428571428571429,1.97671305636,4.88,1.93838518412,0.0,0.0,3.333333333333333,-4.398156016603766,0.8556486099045935,1,1,0
164,80.0,0.4062,0.25,0.3438,24.4087,6.2459,6.1464,89.9998,104.7501,90.0001,0.15,2.001,1.081248,1.284698,2.179110535233,1.718446,1.4196819999999999,0.4209226,-5.70614412,2.470254,-0.23857156,-2.7356606,0.7565740000000001,9.039277284830801,67.86507937932001,1.5707928361363923,1.828234136793312,1.5707980721241486,906.1652473615258,0.08828411841320925,4.615384615384615,1.95811832673,4.75,1.96904926823,5.636363636363638,2.02798568096,3.333333333333333,-1.8971199848858813,0.6936470556015963,1,1,1
181,80.0,0.3438,0.375,0.2812,24.4901,6.2287,6.0949,89.9998,104.5639,90.0001,0.1261,1.9456,1.066252,1.272802,2.110776775767,1.7328039999999998,1.405318,0.3707024,-5.72610588,2.424746,-0.21652844,-2.7345894,0.7459260000000001,8.776195141919201,67.70919957068001,1.5707928361363923,1.8249843337260987,1.5707980721241486,899.8509876045149,0.08890360859964967,4.545454545454546,1.94676864558,5.0,1.98269800978,5.5555555555555545,2.01862737398,3.333333333333333,-2.070680036011263,0.6655704127897109,1,1,1
183,20.0,0.25,0.75,0.0,12.3309,3.049,5.8260000000000005,89.9998,103.7468,90.0001,0.0254,2.4253,1.025,1.2175,1.70114611125,1.76,1.3725,0.1895,-5.80865,2.3975,-0.14515,-2.72325,0.6924999999999999,7.559829078,59.03763465,1.5707928361363923,1.8107232484080529,1.5707980721241486,212.76530675663986,0.0940002874757957,3.5,1.93910558109,3.5,1.93910558109,0.0,0.0,2.333333333333333,-3.673006104957646,0.885955228078036,1,1,0
190,80.0,0.5938,0.4062,0.0,24.3046,6.0002,5.7556,89.9994,103.8693,90.0002,0.0352,3.1663,1.073132,1.214062,1.5118742303922001,1.69124,1.4309459999999998,0.2713244,-5.79551684,2.72411,-0.19610116,-2.7112170000000004,0.682186,7.4960511003024015,44.34312022068,1.5707858548193845,1.8128612767417456,1.5707998174534008,814.8820168040922,0.09817372128759712,4.947368421052632,1.91294004375,5.0769230769230775,1.92229370834,0.0,0.0,3.333333333333333,-3.3467091963780855,1.1525637137605826,1,1,0
207,80.0,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,0.1883,2.0563,1.0825,1.2781249999999995,2.1105355910625,1.7131250000000002,1.423125,0.4106875,-5.7137375,2.506875,-0.2368125,-2.7329375,0.749375,8.896141903875,65.11579813750001,1.5707910908071407,1.8269949530243963,1.5707980721241486,896.0818957310803,0.08927755418463283,5.0,1.98014214782,4.5,1.9405390025,5.4,2.00654424469,3.333333333333333,-1.6697188433190304,0.7209082513453355,1,1,1
211,80.0,0.4062,0.3125,0.2812,24.4252,6.2109,6.0822,89.9997,104.5856,90.0001,0.1768,2.0724,1.074889,1.272056,2.0762398863957,1.7201430000000002,1.415793,0.3855406,-5.723140379999999,2.48381,-0.22576531,-2.7321322,0.743984,8.7638587626828,65.03516007932001,1.5707910908071407,1.8253630701737813,1.5707980721241486,892.9489598557777,0.0895907869279796,4.9230769230769225,1.97200516502,5.0,1.97759969648,5.111111111111111,1.98538339243,3.333333333333333,-1.7327361287785938,0.7287073559584962,1,1,1
212,80.0,0.0,0.4688,0.5312,24.7815,6.4664,6.4217,90.0003,105.0881,90.0,0.01,1.3425,1.04312,1.3262399999999999,2.7101395951247995,1.794064,1.361872,0.43012799999999995,-5.66903904,2.043136,-0.21667728,-2.7596224,0.80624,9.9368497231168,93.677464,1.5708015627826524,1.8341333496650527,1.5707963267948966,993.5837129422908,0.08051661773228619,0.0,0.0,4.0,1.96214422057,5.882352941176473,2.10524714949,3.333333333333333,-4.605170185988091,0.2945335474008827,0,1,1
